DOE_ID,DOE_Type,DataSplit,Qf_train_m3h,T_RO_in_C,Cf_kg_m3,R_target,ProposalFeasibilityScore,NearestPriorDistance,Rmax_analytic_design
152,LowTemperatureChallenge,Train,59.5114589447523,22.4577428139553,38.6283777135573,0.496511570620672,0.560362926910893,0.176930217475425,0.50957355374733
153,LowTemperatureChallenge,Train,61.1518358226853,24.4923822926524,40.8426465048148,0.494403832809288,0.607766014257811,0.154004100137183,0.49582394517883
154,LowTemperatureChallenge,Train,55.4107504684817,23.0316508989971,38.9025324661522,0.513764993490651,0.723752198869338,0.103223963800074,0.547506891570636
155,LowTemperatureChallenge,Train,51.281510659216,26.8332024569018,38.787567455,0.505910756632679,0.804397184317443,0.107814552247522,0.569205950223463
156,LowTemperatureChallenge,Train,60.1091461313161,24.7295998414405,39.2732048234001,0.477722961663448,0.572030560517652,0.0488830516961465,0.504476847755584
157,LowTemperatureChallenge,Validation,55.2809646272094,24.6471340849763,39.2949209343854,0.485906576048566,0.554821726515256,0.0595956836404395,0.548799343692818
158,LowTemperatureChallenge,Test,54.5008566722487,26.9430396940753,39.0507217088273,0.502420121943733,0.755516743125642,0.0992892231611307,0.556697624267479
159,LowTemperatureChallenge,Validation,54.8173049387698,24.6086748014529,38.5823874080799,0.46454857632793,0.64966153829327,0.155207685199237,0.553466612761656
160,LowTemperatureChallenge,Train,56.2030275692315,26.9938893384654,38.8689854806229,0.494040782711296,0.854708560315449,0.103284022013897,0.539746562227895
161,LowTemperatureChallenge,Test,56.8954625748311,22.9067627418534,38.8500450327387,0.473535856108377,0.640578342771513,0.122395274190159,0.533141172239877
162,LowTemperatureChallenge,Train,53.0784112086642,24.0165711115968,38.5936947078699,0.547652546010482,0.665397272700605,0.0956329965152225,0.571372126169051
163,LowTemperatureChallenge,Test,53.7124061543027,26.9198744089163,38.8885036044544,0.564421204575987,0.663960279611346,0.105392605564089,0.564913489341166
164,LowTemperatureChallenge,Train,55.4558201298179,23.9605796624555,39.33238146952,0.54536958839016,0.622904749512569,0.0690696735858066,0.547059487509019
165,LowTemperatureChallenge,Train,52.4437236917836,26.7999149910968,38.948930937543,0.515241856315386,0.748581705373524,0.156393843967773,0.567403006284436
166,LowTemperatureChallenge,Train,54.7677567870223,26.9648004660683,39.4052298101703,0.519247736457703,0.783421867977769,0.0953395141589566,0.553970045689879
167,LowTemperatureChallenge,Train,56.7993535920994,22.4701665481234,39.6341018006753,0.509344147216108,0.578443882397196,0.0516596191744872,0.534048365357507
168,LowTemperatureChallenge,Train,59.321122886095,24.833695286096,39.677277151888,0.494095032867252,0.550423119191896,0.141496540603697,0.511218182595296
169,LowTemperatureChallenge,Test,56.5616404576848,26.3926776659097,40.2874571757621,0.516788496019061,0.660684789725674,0.152140816479095,0.536305433031435
170,LowTemperatureChallenge,Train,59.0376343233871,24.5292694403163,40.5371062856262,0.488806702958285,0.550294643692621,0.149873596762175,0.513687369837856
171,LowTemperatureChallenge,Train,56.5382440394755,20.1750528175459,38.6410470702049,0.516562465397792,0.659633135413276,0.104990420331994,0.536528606136085
