Qf_train_m3h,T_RO_in_C,Cf_kg_m3,candidate_count,feasible_count,best_R_target_min_SEC,best_Qp_train_m3h,best_W_RO_train_kW,best_SEC_kWh_m3,best_Cp_mg_L,best_P1_opt_gauge_MPa,best_P2_opt_gauge_MPa,best_P_feasible
49.05,38,38.8,35,18,0.55,26.9775,111.246400745896,4.12367345921217,500,4.5698855684171,7.67465473827091,0.896889853457079
50.6,38,38.8,35,22,0.55,27.83,106.680282161074,3.83328358465951,500,4.95889926836896,7.52435444426081,0.889082587348569
52.15,38,38.8,35,25,0.55,28.6825,103.021641279328,3.59179434426315,500,5.34169368258416,7.37711242320718,0.908591821535682
53.7,38,38.8,35,26,0.55,29.535,100.11741046458,3.38978874097105,500,5.73052635414292,7.22335876923599,0.96248072607161
55.25,38,38.8,35,29,0.535,29.55875,95.2922750265105,3.2238262790717,500,5.94447643122271,6.91393429328895,0.99947322351274
56.8,38,38.8,35,30,0.505,28.684,88.4055686314431,3.08205161872274,500,5.926657312849,6.50236003629527,0.9999100953322
58.35,38,38.8,35,30,0.48,28.008,83.1663267659249,2.96937756233665,499.874187324501,5.90211622475738,6.18862117021312,0.999948808077654
59.9,38,38.8,35,29,0.445,26.6555,78.7410302121805,2.95402563118983,498.415508882593,5.63869434905546,5.91582374563967,0.999631506072766
61.45,38,38.8,35,28,0.44,27.038,80.9938506266298,2.99555627733671,487.565727253783,5.61412526246761,5.91474342581525,0.930997115221092
63,38,38.8,35,17,0.49,30.87,98.1892723062552,3.18073444464708,452.152005890443,5.95344575213443,6.51329276674191,0.864743792131168
47.5,38.5,38.8,35,8,0.545,25.8875,115.740063342066,4.4708860779166,500,4.12842256822377,7.73695830197306,0.804767226331793
49.05,38.5,38.8,35,18,0.55,26.9775,110.627792845452,4.10074294673162,500,4.56468105981588,7.64096159015768,0.901196140230618
50.6,38.5,38.8,35,22,0.55,27.83,106.168718210294,3.81490184011117,500,4.94999679696547,7.49442091128632,0.881703083589236
52.15,38.5,38.8,35,25,0.55,28.6825,102.604201745942,3.57724053851449,500,5.32922796917037,7.35106492787611,0.885946187712096
53.7,38.5,38.8,35,26,0.55,29.535,99.7730526546681,3.37812942795558,500,5.71607005743807,7.20048078421162,0.950328585636288
55.25,38.5,38.8,35,28,0.535,29.55875,95.0583455322553,3.21591222674353,500,5.92212285748192,6.89679792793714,0.999451136496769
56.8,38.5,38.8,35,30,0.505,28.684,88.2510980642235,3.07666636676278,500,5.90445289720498,6.48682327668219,0.999920179830538
58.35,38.5,38.8,35,30,0.48,28.008,83.0633441838449,2.96570066351917,499.732528633048,5.87914645138155,6.17655259007073,0.999956180829684
59.9,38.5,38.8,35,29,0.445,26.6555,78.5678844504479,2.94752994505629,498.465945239157,5.6216470110048,5.89886012919158,0.999694649826295
61.45,38.5,38.8,35,28,0.44,27.038,80.7495023291245,2.98651905943948,487.655997852052,5.59446173789471,5.89676341843947,0.93208812469469
63,38.5,38.8,35,18,0.485,30.555,96.2080150439559,3.14868319567848,454.31322041084,5.90592872640169,6.43128614406852,0.800226545895065
47.5,39,38.8,35,8,0.545,25.8875,115.024435897437,4.44324233307337,500,4.12677612578177,7.70033501292971,0.820203791647456
49.05,39,38.8,35,18,0.55,26.9775,110.029894731306,4.07858010309726,500,4.55929011774632,7.60824240106322,0.905029589538903
50.6,39,38.8,35,22,0.55,27.83,105.674758080601,3.79715264393106,500,4.94095110398682,7.46534830213666,0.875220475343532
52.15,39,38.8,35,25,0.55,28.6825,102.201342381145,3.56319506253448,500,5.31676933167344,7.32566624188234,0.860083149650669
53.7,39,38.8,35,27,0.55,29.535,99.439996056966,3.36685275290218,500,5.70181867731186,7.17821076448983,0.934923207678414
55.25,39,38.8,35,28,0.53,29.2825,93.9191838674292,3.20734854836265,500,5.85368205165453,6.82555815265196,0.999725474946611
56.8,39,38.8,35,30,0.505,28.684,88.1595415845393,3.07347446606259,499.634324158453,5.88060081386031,6.47331943454146,0.999929439092762
58.35,39,38.8,35,30,0.48,28.008,83.0053259536456,2.96362917572285,499.390226934817,5.85506173548403,6.16600804175177,0.999962713128486
59.9,39,38.8,35,29,0.445,26.6555,78.4061589895494,2.94146269961356,498.532219644461,5.60504752102186,5.88237542024844,0.999749539253206
61.45,39,38.8,35,28,0.44,27.038,80.5144673676686,2.97782629512792,487.729279017181,5.57716892210634,5.87882526874746,0.933154879056647
63,39,38.8,35,18,0.485,30.555,96.3585116697012,3.15360862934712,453.667383806333,5.86836191118312,6.42479744026157,0.806291613867964
47.5,39.5,38.8,35,7,0.545,25.8875,114.33246896397,4.41651256258695,500,4.12502967785901,7.66469975724369,0.833838154751815
